Number,Identifier,Length,Measure,ELJ_ID_1
437,219_l,41,55839.14648000000,
438,219_w,16,55842.15443210000,
439,220_l,20,56731.15670000000,
440,220_w,15,56731.15670000000,
441,221_l,16,56731.15670000000,
442,221_w,23,56728.29856640000,
443,222_l,25,56868.57503460000,
444,222_w,10,56869.56348540000,
445,223_l,43,56811.63091910000,
446,223_w,11,56810.75312270000,
447,224_l,84,56814.40017780000,
448,224_w,31,56826.09602750000,
449,225_l,28,56898.38150000000,
450,225_w,9,56898.38150000000,
451,226_l,36,57139.71767490000,
452,226_w,12,57142.52333090000,
453,227_l,23,57162.19341420000,
454,227_w,13,57163.72878720000,
455,228_l,120,58063.57535840000,
456,228_w,22,58072.50405890000,
457,229_l,28,58664.75546240000,
458,229_w,24,58665.88939440000,
459,230_l,43,59648.48502460000,
460,230_w,12,59651.94556780000,
461,231_l,43,59982.96310690000,
462,231_w,27,59978.88459410000,
463,232_l,123,63482.38132600000,
464,232_w,37,63488.78352820000,
465,233_l,43,66356.57025180000,
466,233_w,16,66353.52070330000,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
