,,,,,,,,,,,,,,,,,,,,,,,,,,,,rkm,size,type,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.2,96,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,290,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.4,250,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,48,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.2,216,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.3,40,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.1,304,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,32,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,72,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.8,180,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,110,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,720,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.1,70,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.3,258,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.4,92,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.5,210,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7,66,Key Piece,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,100,Key Piece,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1,53,Manmade,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,70,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,640,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,4050,Channel Spanning,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,370,Fencing,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,847,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6,536,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.2,90,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,160,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,132,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9,726,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.8,98,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,54,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.5,868,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.6,91,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,98,Drift/Bar Top,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,540,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6,77,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,1632,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.3,372,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,204,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,232,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,308,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,132,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,216,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.5,323,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,304,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,364,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,60,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.2,65,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.1,88,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,185,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8,315,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,196,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.4,287,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,45,Stumps?,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.3,192,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.7,297,Meander,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.8,180,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.6,286,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,61,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,156,Key Pieces,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,293,Bar Apex,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9,43,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.1,325,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,47,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,116,Key Pieces - maybe,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,215,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,27,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,176,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,60,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,504,Live Trees,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.2,108,Stumps,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8,140,Bar Apex,,,,,,,,,
